screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
cherrywrxs,2021-05-10T19:07:55Z,"RT @aslion: tou tão desinteressada últimamente que não consigo mais escrever, ler, assistir animes, desenhar ou fazer qualquer coisa que eu goste, tou só sobrevivendo, que nem posso chamar isso de viver",,aslion,𝙄 𝙬𝙖𝙣𝙩 𝙩𝙤 𝙜𝙤 𝙩𝙤 𝙩𝙝𝙚 𝙢𝙤𝙤𝙣      🏵     #HANAKO♡          ~ela/dela~,Twitter for Android,pt,1391832391031865348
pipoca_sep,2021-05-10T18:43:03Z,"Cortei a franja da Anna, ela se mexeu, ficou torta e eu não consigo parar de rir pq tá igual o Chitãozinho aí coloquei ela com a música DE QUE ME ADIANTA VIVER NA CIDADE e juro que não aguento mais rir

Coisas que só quem está nos melhores amigos do Insta conseguem ver",,,"Palmeiras 💚
Psicologia e Pedagogia 🧠🦉



As revoluções são a locomotiva da história.✊",Twitter for Android,pt,1391826134422151173
MathKavalcante,2021-05-10T18:20:18Z,"RT @aslion: tou tão desinteressada últimamente que não consigo mais escrever, ler, assistir animes, desenhar ou fazer qualquer coisa que eu goste, tou só sobrevivendo, que nem posso chamar isso de viver",,aslion,Chainsaw-man| MHA| Kaiju N.8| JJK| Tokyo Revengers| @muichisuri ❤️,Twitter for Android,pt,1391820407108509704
Madame_Cosett,2021-05-10T18:11:56Z,"RT @aslion: tou tão desinteressada últimamente que não consigo mais escrever, ler, assistir animes, desenhar ou fazer qualquer coisa que eu goste, tou só sobrevivendo, que nem posso chamar isso de viver",,aslion,"Eu prometo, você não irá encontrar outra pessoa mais sincera que eu neste mundo ~Hua Cheng


Multifandon
sdv💛
Ela / dela
20 anos 🌺 🐞",Twitter for Android,pt,1391818301077180420
Visatotn,2021-05-10T18:04:15Z,eu. não. consigo. mais. viver. nesse. país. tendo. bolsonaro. como. presidente.,,,Acessa minha loja de roupas feita por produção independente lá no Instagram! @use.shantay,Twitter Web App,pt,1391816366001463298
H3LBERTGE0RGE,2021-05-10T17:29:04Z,"que ódiokk

@DynaRiotS2 @Mushro0mBoy bora enganar umas pessoa aí na net pra conseguir bênçãoda lua nova bora

eu nao consigo viver sem a yanfei mais nao vei.... https://t.co/YePpMIGclD",,,𝗕𝘂𝘁 𝗮𝗿𝗲 𝘆𝗼𝘂 𝗺𝗮𝗹𝗲 𝗼𝗿 𝗳𝗲𝗺𝗮𝗹𝗲? — 𝗜'𝗺 𝗳𝗿𝗼𝗺 𝗿𝗼𝗰𝗸        d.elu /d.ele         〜        𝗠𝗬 𝗩𝗜𝗕𝗘𝗦:;    🧸🌻☕🐝,Twitter Web App,pt,1391807512626802691
Lailapadua4,2021-05-10T17:20:31Z,@alarissamatos Já não consigo nem viver direito mais Larissa sem SÇK 😁,alarissamatos,,,Twitter for Android,pt,1391805363410898945
mary_sozzo,2021-05-10T17:12:28Z,Minha mente é um turbilhão mais eu consigo viver como se ela não fosse 🥲,,,Fenotipicamente gostosa!,Twitter for iPhone,pt,1391803336454778881
marcelozzzzzz,2021-05-10T17:12:28Z,"Queria sim ter tido a experiência de viver esse amor com ele aqui do meu lado, infelizmente foi necessario ele partir pra eu viver esse processo. Mas eu não consigo ver isso mais como uma coisa ruim. Sinto como se eu tivesse resolvido um Karma tanto meu quanto do papai.",marcelozzzzzz,,"Se diz grande conhecedor de cinema, mas entende mesmo de downloads piratas e tweets sem sentido. Arrogância e má educação compõem sua personalidade.",Twitter for iPhone,pt,1391803334789582852
sunflwrvlsix,2021-05-10T17:05:08Z,não consigo mais viver sem abacate q ódio,,,manda curiosidades aqui irrrrraaaa https://t.co/DmLky90xbG,Twitter for iPhone,pt,1391801491543973891
taeilmorango,2021-05-10T16:50:28Z,"RT @aslion: tou tão desinteressada últimamente que não consigo mais escrever, ler, assistir animes, desenhar ou fazer qualquer coisa que eu goste, tou só sobrevivendo, que nem posso chamar isso de viver",,aslion,,Twitter for Android,pt,1391797799604400128
MileyIsVegan,2021-05-10T16:41:49Z,"Eu provei o paraíso, agora não consigo viver sem ele
Eu não consigo te esquecer e o seu amor é o mais intenso
Oh, não consigo controlar, não consigo controlar (não consigo controlar) https://t.co/7AyeJZun0U",,,"minha conta principal foi Suspensa a @MileyCyrus_mix

fan account

(conta reserva:@gavassibaby)",Twitter for Android,pt,1391795621141614592
CeciLima,2021-05-10T16:23:39Z,É sério?! Charlatanismo?! Esse mesmo o crime?! Eu não consigo mais viver nesse país https://t.co/sssM1Epnz9,,,Vive de mkt e beleza ❤️,Twitter for iPhone,pt,1391791049887080449
remuslupin_si,2021-05-10T16:06:22Z,"RT @aslion: tou tão desinteressada últimamente que não consigo mais escrever, ler, assistir animes, desenhar ou fazer qualquer coisa que eu goste, tou só sobrevivendo, que nem posso chamar isso de viver",,aslion,"“I’M ALWAYS CALM AND RATIONAL, YOU RED HAIRED LOSER” - @alwayxweasley (a/ela/a)",Twitter for iPhone,pt,1391786701174059010
kakaleatoria,2021-05-10T15:27:23Z,"RT @aslion: tou tão desinteressada últimamente que não consigo mais escrever, ler, assistir animes, desenhar ou fazer qualquer coisa que eu goste, tou só sobrevivendo, que nem posso chamar isso de viver",,aslion,"⠀

︐🏡  𝐋𝐄𝐕𝐈   ੭ֶ   𓈈   𝑦𝑜𝑢 𝑎𝑟𝑒 𝒂𝒓𝒕— (a/ela/a)",Twitter for Android,pt,1391776891657408513
sindyserafim,2021-05-10T15:14:38Z,aff eu não consigo viver mais sem um pet pra dar todo meu amor e carinho p ele 😢,,,"move on, bitch",Twitter for iPhone,pt,1391773681018355717
guiziiiin07,2021-05-10T15:13:45Z,"Porra! Pq é tão difícil viver? pq é tão difícil ser feliz? caralho! eu sinto ódio, sinto angústia, nem me preocupar eu consigo mais, nem ter medo, não sinto mais nada, bateu tão forte em mim que eu simplesmente fiquei vazio. uma casca vazia sem rumo. eu preciso de ajuda, alguém??",,,):),Twitter for Android,pt,1391773458476961797
guiziiiin07,2021-05-10T15:11:50Z,"Juro que queria sentir alguma coisa, juro que queria rir e ficar feliz em momentos divertidos, juro que queria chorar em momentos tristes. Não consigo sentir nada, não consigo mais pensar no meu sonho, na minha vida, eu queria voltar a ser como era antes, eu queria viver de novo.",,,):),Twitter for Android,pt,1391772979428741123
kenmonroll,2021-05-10T15:06:17Z,"RT @aslion: tou tão desinteressada últimamente que não consigo mais escrever, ler, assistir animes, desenhar ou fazer qualquer coisa que eu goste, tou só sobrevivendo, que nem posso chamar isso de viver",,aslion,ㅤㅤㅤㅤ૮ ’• ˕ •` ა  𝗸𝗼𝘇𝘂𝗺𝗲 𝗸𝗲𝗻𝗺𝗮 🐈🎮  ─ ê | elu | -e  ꕤ  a | ela | -a ,Twitter for Android,pt,1391771581412691968
marianacabralc,2021-05-10T14:58:58Z,"Oi @tvglobo 

Favor deixar Gil fixo no encontro com fatinha? Eu não consigo mais viver sem isso. 

Outra ideia também é dar um programa só pra ele! 

🥰",,,Advogada | Liberal | Aquário com asc em Leão |@centrismos @bemcapital. Toda vez que alguém se diz liberal só na economia um bebê panda morre.,Twitter for iPhone,pt,1391769739341479936
Diego07ramos,2021-05-10T14:48:34Z,"As vezes eu paro em alguns locais aqui de casa, e lembro de toda a cena do meu avô pedindo socorro, não consigo mais viver em paz depois disso 😞😭",,,"Erga essa cabeça, mete o pé e vai na fé 🎵❤",Twitter for Android,pt,1391767123123449859
Le_mesiara_,2021-05-10T14:46:52Z,"É muito bom viver sozinha, mais eu não nasci pra isso, não consigo viver sem ter ninguém, sou carente dms pra isso kkkk",,,SCCP🖤🙌🏻,Twitter for Android,pt,1391766694172020741
povddl,2021-05-10T14:44:59Z,@desempregadinho não consigo viver mais,desempregadinho,,"holding onto tables, pulling out the staples — fan account",Twitter for Android,pt,1391766221226487810
biihcriss,2021-05-10T14:35:37Z,"em tudo vejo problemas do ipt
não consigo mais viver sem pensar q tudo pode ser um trem do ipt
socorro
ubirajara pfv leve o ipt pra ufmg te amo vida",,,"uma gostosa na universidade federal das mulheres gostosas (UFMG) fazendo sabe se lá oq na física 🥺🥰
https://t.co/9AYDvtyJol",Twitter for Android,pt,1391763862391824385
marywhitethorn,2021-05-10T14:29:22Z,"com crtz eu passo mais
eu nao consigo viver se nao contar ou escutar pelo menos 4 fofocas no dia https://t.co/0yb2XgYNGS",,,"#𝐑𝐎𝐖𝐀𝐍: I claim you, Aelin. To whatever ends, firehearth.",Twitter for Android,pt,1391762292115709959
womanrizer,2021-05-10T14:17:49Z,"como pode o meu bebê estar gerando um nao consigo mais ter razao para viver 
 https://t.co/4x1M7dltlB",,,prod. V,Twitter for Android,pt,1391759384779399168
J_Salini,2021-05-10T14:17:12Z,@silvamariaaline Eu descobri que não consigo mais viver sem,silvamariaaline,,Escrevo sobre o @scinternacional no Portal Mulheres em Campo ( @blog_mec) e das @coloradasgurias no @PasquimColorado,Twitter for Android,pt,1391759228415717377
sweetal15321636,2021-05-10T14:08:22Z,"RT @aslion: tou tão desinteressada últimamente que não consigo mais escrever, ler, assistir animes, desenhar ou fazer qualquer coisa que eu goste, tou só sobrevivendo, que nem posso chamar isso de viver",,aslion,hiiii :),Twitter Web App,pt,1391757004461510661
andre_nmoreira,2021-05-10T14:01:18Z,Nunca tive mas não consigo viver mais sem um monitor ultrawide,,,👨🏽‍💻✌🏼🚀,Twitter for Mac,pt,1391755226391228430
stavny_duda,2021-05-10T13:57:07Z,não consigo mais viver sem L7nnon,,,"mulher cativante, sorriso perfeito🧚🏼‍♀️",Twitter for Android,pt,1391754175361466375
julianacamargo,2021-05-10T13:51:04Z,Eu não quero mais viver sem Gil do Vigor na minha TV. Eu simplesmente não consigo cansar. E olha que eu sempre canso de ex-BBB tão logo o programa termina. #VigorandoComFatima,,,"light as a feather, stiff as a board",Twitter Web App,pt,1391752650467782657
Jounysphinx,2021-05-10T13:49:13Z,"RT @aslion: tou tão desinteressada últimamente que não consigo mais escrever, ler, assistir animes, desenhar ou fazer qualquer coisa que eu goste, tou só sobrevivendo, que nem posso chamar isso de viver",,aslion,"そして、私はあなたがヒョウではないと言いました, 運命を変えることができます。 あなた一人じゃありません。 君のそばにいるよ。 私の魂はいつもあなたと一緒です。

| qualquer pronome |  ENTP  bookstan  AroAce+Não binário|",Twitter for Android,pt,1391752186820956161
rafaelainacio34,2021-05-10T13:48:52Z,"RT @chapada_falida: eu não consigo mais viver sem maconha, fico um dia sem já quero pisar na cabeça de alguém",,chapada_falida,Fiel a mim e leal só à quem eu amo ! 👩‍👦‍👦,Twitter for Android,pt,1391752100556705792
xaconha,2021-05-10T13:46:42Z,"RT @chapada_falida: eu não consigo mais viver sem maconha, fico um dia sem já quero pisar na cabeça de alguém",,chapada_falida,,SmiteCraft,pt,1391751553619480579
chapada_falida,2021-05-10T13:46:37Z,"eu não consigo mais viver sem maconha, fico um dia sem já quero pisar na cabeça de alguém",,,Twitter pra falar bosta pra pessoas desconhecidas enquanto f1. Gosto de ouvir uns rap e jogar videogame,Twitter for iPhone,pt,1391751531930820623
Joelguedess,2021-05-10T13:09:56Z,"Ontem tive uma bad trip antes de dormir de que eu não sei se ia conseguir ir voltar pra Manaus por causa da Maria, não consigo mais viver sem ela",,,,Twitter for Android,pt,1391742300452233218
eduardolabreu,2021-05-10T12:58:20Z,"Não tenho mais saúde mental nenhuma!!! Crises atrás de crises, luta Titanica pra conseguir as vezes sair pra trabalhar, não consigo focar nos estudos... sem perspectiva nenhuma...

Viver tá ficando insuportável.",,,"Crentefóbico, anticristão, antifacista, antiracista, antipatriota, antiGADO.
#ELENÃO",Twitter for Android,pt,1391739383217332227
brunarodrs,2021-05-10T12:21:32Z,não consigo mais viver sem usar trança meu pai,,,sonhando com a vacina,Twitter for iPhone,pt,1391730122491940864
britomariana2,2021-05-10T12:16:28Z,"que saudade de viver isso.. eu nasci pra ser intensa, não me imagino vivendo algo menos que isso.. ou ficando com uma pessoa que de fato não faz meu coração bater mais forte.. n consigo ser uma pessoa que aceita as coisas por conveniência.",britomariana2,,o que for pra ser vigora,Twitter for iPhone,pt,1391728846051987457
jhonnyboy250,2021-05-10T12:02:18Z,"nao aguento mais acordar cedo, quero estudar de tarde dnv, eu só consigo viver assim",,,"eu juro q nao sou tao tapado
🏳️‍🌈 sapatão 
ele/ela/elu 
INTP",Twitter for Android,pt,1391725278821502976
LvcasPagliacada,2021-05-10T11:31:10Z,@crisenaredbull @sainztappen nada da certo viver é uma tristeza repentina e constante não vejo uma luz não vejo nada é apenas derrotas e mais derrotas viver se tornou algo insuportavel nao sei se consigo aguentar mais isso tudo esse peso diário e a responsabilidade de viver,crisenaredbull,,''The only thing he seems to care about is trolling'' † Católico Apostólico Romano † @Gremio†,Twitter Web App,pt,1391717446298505220
sosorisinho,2021-05-10T11:24:36Z,"RT @aslion: tou tão desinteressada últimamente que não consigo mais escrever, ler, assistir animes, desenhar ou fazer qualquer coisa que eu goste, tou só sobrevivendo, que nem posso chamar isso de viver",,aslion,"⠀ (a/ela/-a) ⠀ 𖥻⠀ ""also since when do you act so calm and racional? usually, you're all like DIE DIE DIE""",Twitter for iPhone,pt,1391715793285615616
venusncm,2021-05-10T11:14:10Z,"RT @aslion: tou tão desinteressada últimamente que não consigo mais escrever, ler, assistir animes, desenhar ou fazer qualquer coisa que eu goste, tou só sobrevivendo, que nem posso chamar isso de viver",,aslion,"– ، #𝐊𝐀𝐈𝐒𝐄𝐑: eu vou até o INFERNO pra te buscar de volta ୭ 
     
   ⋆ (ela/dela) ⋆",Twitter Web App,pt,1391713168154583046
phl_rng,2021-05-10T09:09:51Z,@iamthimartins Vou levantar e começar a viver já pq agora não consigo dormir mais.,iamthimartins,,um Ranger original.,Twitter for Android,pt,1391681883185061888
hinaksai,2021-05-10T08:06:32Z,"n consigo mais ter nd de perspectiva de vida, qnd minha vó morreu metade de mim morreu tb, agr a minha mãe a msm coisa, elas levaram com elas tudo q tinha de bom em mim, não tenho mais medo de morrer e cm crtz não tenho mais vontade de viver, eu vou me matar, pd n ser hj, mas vou",,,• ♥︎ hyuuga ♥︎ •     ✦︎mikasa supremacy✦︎,Twitter for Android,pt,1391665946927026176
ju_lynx,2021-05-10T07:30:27Z,"fico vendo minhas fotos com unha grande, eram tão bonitas, mas eu real não consigo mais viver de unha cumprida",,,"《ela/dela》




💗💛💙 ~ 🏳️‍🌈",Twitter for Android,pt,1391656866133028865
larinhja,2021-05-10T07:10:07Z,engraçado q umas horas atrás eu tava chorando q raiva pq não consigo fazer nada e tal agora tô numa vibe mais amo viver tenho sonhos um futuro vamo pegar uma perua e viajar o mundo sabe,,,𖧧 ִֶָ  ela/dela,Twitter for Android,pt,1391651751829331968
morais_m13,2021-05-10T06:45:34Z,"sinceramente, eu não consigo entender como esses ""casais"" conseguem viver nessa cachorrada. Mais fácil terminar",,,"@Flamengo
19 anos 

@Nike",Twitter for Android,pt,1391645571136512004
sparklingxgirl,2021-05-10T06:37:58Z,"RT @aslion: tou tão desinteressada últimamente que não consigo mais escrever, ler, assistir animes, desenhar ou fazer qualquer coisa que eu goste, tou só sobrevivendo, que nem posso chamar isso de viver",,aslion,Fuck it all,Twitter for Android,pt,1391643660014522369
haruackerman_,2021-05-10T05:45:31Z,"RT @aslion: tou tão desinteressada últimamente que não consigo mais escrever, ler, assistir animes, desenhar ou fazer qualquer coisa que eu goste, tou só sobrevivendo, que nem posso chamar isso de viver",,aslion,tentando sair do tédio ou apenas pr esquecer o vazio // odeio fujoshi - ela/dela,Twitter for Android,pt,1391630458790756357
bizellymann,2021-05-10T05:12:31Z,sério queria poder falar tudo que eu sei e sinto daria um monólogo enorme mas ficaria até mais leve porém simplesmente NAO CONSIGO EXPRESSAR serio odeio viver,,,"eu não sou a dona da razão, eu sou a sócia majoritária.",Twitter for iPhone,pt,1391622157025808386
dreew_1903,2021-05-10T05:12:14Z,"O tempo passa depressa quando estou com voce, as horas viram minutos não consigo entender, e o que eu mais quero é viver ao seu lado cada segundo amooooooorrr",,,"✨ @castilhoserikaa|@Kalfels_Thaiis ✨ 
🌍comissário de bordo em formação 🛩        
@Gremio | @ChapecoenseReal",Twitter for Android,pt,1391622082044301316
venusdejaboatao,2021-05-10T05:08:43Z,"Mas depois que me entendi por bi eu não me vejo querendo regressar a esse espaço e/ou pedindo aceitação embasada lá nos dogmas deles. Eu não consigo mais viver em uma igreja, embora ainda me ache cristão (a gay doida).",venusdejaboatao,,"esse perfil é contra a Rodolfo, Sarah e Caio.",Twitter for iPhone,pt,1391621199302639618
mariiosergiio_,2021-05-10T05:08:31Z,"Já não consigo viver mais
Longe um do outro sem saber
Se foi briguinha de paixão
Ou se foi séria a decisão...",,,⏳,Twitter for iPhone,pt,1391621147779813379
kozumely,2021-05-10T05:00:00Z,"eu queria tanto que isso nao me afetasse mais, eu so queria poder seguir em frente e viver a minha vida mas nao consigo eu me odeio por isso",,,ー 🧷🛒 𝗿𝗲.𝗸𝗶 ¡! sᥙᥒshιᥒᥱ ‹𝟹 ela/dela,Twitter Web App,pt,1391619007036510209
C4ioRe1s,2021-05-10T04:59:24Z,RT @nicholasvlle: acho q não consigo viver mais sem neosoro,,nicholasvlle,,Twitter for iPhone,pt,1391618852128178176
nicholasvlle,2021-05-10T04:47:15Z,acho q não consigo viver mais sem neosoro,,,,Twitter for iPhone,pt,1391615796191940610
V4NTEDARK,2021-05-10T04:04:40Z,a questão e que eu não consigo mais viver sem vc :/,,,∝ 𝘢𝘯𝘥 𝘢𝘭𝘭 𝙤𝙛 𝗒𝗈𝗎 #𝑱𝑲 🤟🏻@pjm_moonie,Twitter for Android,pt,1391605081368367104
manunonnenmache,2021-05-10T04:02:39Z,"KKKKKKK alg pfv me leva pra conhecer o Fernandinho costa, não consigo mais viver com essa distância entre a gente 😭",,,"Gaúcha tchê, 16 anos, gremista, apaixonada por cavalo, amante do laço comprido",Twitter for Android,pt,1391604572750290945
aslion,2021-05-10T03:58:50Z,"tou tão desinteressada últimamente que não consigo mais escrever, ler, assistir animes, desenhar ou fazer qualquer coisa que eu goste, tou só sobrevivendo, que nem posso chamar isso de viver",,,͏ ͏            ͏        ͏⎙|qualquer pronome |pansexual & trans não-binárie🏳️‍🌈 ͏ઇ@FAlRYLYNXଓ ઇ@_rmsdoଓ,Twitter for Android,pt,1391603613127032833
stslethy,2021-05-10T03:54:41Z,"Meu preto patrocinou o bakana e o açaí da Gil hj,me irrita mais q tudo mas eu não consigo viver sem meu grude mais não.Sou completamente apaixonada nesse grt!!!😍💕",,,Lethy com L de linda e louca• @byelcastanheir0💍,Twitter for iPhone,pt,1391602568044892168
bolota31,2021-05-10T03:45:53Z,Assisti aquela reportagem da creche e fiquei pensando que não consigo mais viver sem minha Maria meu mundo acabaria se algo acontecesse com ela,,,Só to aqui para ver os babados da minha cidade e falar o que não posso em outras redes. Bjs de luz 😍,Twitter for iPhone,pt,1391600353297281024
kaisersfriend,2021-05-10T03:39:54Z,"eu não vou mais sair de casa, eu não consigo mais sair de casa e viver normalmente.",,,"kaiser's voice: a gente tá no seu caminho, arrombado.                                                           (a/ela/dela)",Twitter for Android,pt,1391598848984944647
eitalucy,2021-05-10T03:21:15Z,"RT @CRFandress4: Mãe, hoje eu e o meu irmão passamos mais um dia das mães sem você. Eu juro que não consigo me acostumar, juro que quando da meia noite meu peito fica apertado sabe? Eu sinto muito, eu sinto muito pq eu sei o quando a senhora queria viver, porém mais do que tudo vc sempre falava + https://t.co/wYqYMswThl",,CRFandress4,"Bernardo 👶🏽💙// Mirella 👶🏽💜// 021🌴☀️//
Andar com fé eu vou, que a fé não costuma falhar 🙏🏾",Twitter for Android,pt,1391594151842566145
lilisclipse,2021-05-10T02:48:42Z,eu sou inútil idiota egoísta insuportável egocêntrico eu não deveria ter nascido eu só tenho um motivo pra viver e ele ta a quilômetros de distância eu não sei mais quanto eu consigo suportar,,,ㅤㅤㅤㅤㅤㅤㅤ 🌿   ⌕   𝖻𝖺𝗇𝗀𝗄𝗂𝖽𝗌   ⌗   𝗹𝘂𝘃𝗶𝗲𝘀  ‹𝟹  𓏸𓈒,Twitter for Android,pt,1391585960362758145
placebgtn,2021-05-10T02:48:18Z,"quando eu falo que não consigo mais viver sem a dança não eh meme,fiquei uns 3 meses se fazer balé eu fiquei toda agoniada",,,"‹𝟹           a/ela/-a             🍥
⠀⠀⠀ ⠀⠀",Twitter for Android,pt,1391585861515481089
joaogzp,2021-05-10T02:41:10Z,"+ acabou, eu não tenho força pra nada e finjo estar bem. minha cabeça não presta mais, não consigo ficar um minuto sem pensar neles e em tudo que passei e to passando. 

viver se tornou passado, nao tenho animo e nem vontade mais, não sei nem se eu aguento até o fim do ano.",joaogzp,,nada de bom aqui,Twitter for Android,pt,1391584065724289025
EduardasemJ,2021-05-10T02:38:41Z,"agr que eu posso viver um romance eu não consigo conversar mais de um dia com ninguém, nem eu me ajudo tmnc",,,shit,Twitter for Android,pt,1391583441808986114
itslsd_,2021-05-10T02:32:20Z,"eu não consigo mais responder homens no meu direct ou dm, simplesmente pq eu sei que é apenas sexo/objetificação do meu corpo. a solidão da mulher preta é muito real na minha vida e é difícil viver com isso",,,gosto de flores mas prefiro orgasmos.,Twitter for Android,pt,1391581844244733953
Rosary9ine,2021-05-10T02:29:51Z,"@KhalilGiant primeiro largou no wow, agora isso cara, não da mais sério, é muita pressão, nossos filhos não aguentam e estamos afetando eles, não consigo mais viver nesse relacionamento abusivo com você, eu quero divórcio",KhalilGiant,,Tranquilidade e ironia desde 1999,Twitter Web App,pt,1391581216596443139
evelyzxwm,2021-05-10T02:27:43Z,eu simplesmente não consigo mais enfiar na minha cabeça que tá tudo bem véi eu não aguento mais esse inferno de viver trancada sem saber quando vou poder viver dnv,,,,Twitter for Android,pt,1391580680421785601
estoudeolhoo,2021-05-10T02:22:21Z,"@mamicita @natdadur eu não se consigo nem viver mais depois q perdi a juju 😭 quanto mais acompanhar outro reality, talvez nem bbb22 vou querer mais",mamicita,,,Twitter Web App,pt,1391579330053017600
kinhapaulista,2021-05-10T02:20:47Z,@tabsferreiras eu não consigo mais viver,tabsferreiras,,"não satisfeito em falar sozinho na vida real, eu também falo sozinho nas redes sociais, ah sou noveleiro e comento reality e tomo litrão",Twitter for iPhone,pt,1391578938124783619
gustavolbc_,2021-05-10T01:39:54Z,já não consigo viver mais longe um do outro sem saber se foi briguinha de paixão ou se foi seria a decisão que dividiu meu coração do teu sorriso..,,,Luiz Guilherme 💙👨‍👦,Twitter for iPhone,pt,1391568650231033856
thebuzztin_,2021-05-10T01:39:34Z,"@jaileystar Se eu comer algo hoje ainda vou vomitar de novo 😥 
Amanhã vou começar a comer certinho, não consigo mais viver desse jeito",jaileystar,,"love u @justinbieber,@dualipa",Twitter for Android,pt,1391568563257888774
elianatarja,2021-05-10T01:39:31Z,"RT @barbaralabres: Outra pergunta, vocês acham normal um cara igual o Bolsonaro estar de frente representando nosso país? 
Pq eu nao consigo achar normal quem é a favor desse cara! Eu não suporto olhar na cara dele e cada vez mais desanimo de viver em um país comandado por ele.",,barbaralabres,,Twitter for iPhone,pt,1391568550452768771
mr_lightbluesky,2021-05-10T01:35:48Z,eh foda saber que vc tem que escolher entre ser vc mesmo e ser odiado ou viver infeliz mais amado kkkkkkkkkk eu literalmente não estudo direito pq não consigo ter uma visão de futuro em que eu seja livre ou completamente feliz :),,,"o/ele/-o ★ he/him °･:*✿

                   𝙼𝚞𝚕𝚝𝚒𝚏𝚊𝚗𝚍𝚘𝚖: 𝚃𝙻𝙾𝚄🌿 & 𝙻𝙸𝚂🦋;;          @NetunoKh and @whataheew = 🌎",Twitter for Android,pt,1391567615005503492
safescarIett,2021-05-10T01:26:34Z,"@pessoas_bonit4s eu quero muito morrer nao quero mais viver assim nao da simplesmente nao da dói tanto tanto que eu nao consigo respirar 

a",pessoas_bonit4s,,"not elizabeth olsen, but her favorite girl.",Twitter for Android,pt,1391565294674620424
