screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
bibi98209150,2021-05-11T21:37:40Z,@svenusblack @odiar_homem @beyangeI ta rindo pq eu so uma suicidar😟,svenusblack,,team lula💚💛,Twitter for Android,pt,1392232464429486087
_Capela5,2021-05-11T21:21:59Z,Já tinha aqui umas mensagens para ajudar pessoas a suicidar :(,,,IG:goncalo_capela,Twitter for Android,pt,1392228516289208327
Oxe_imp,2021-05-11T21:14:45Z,@guarana @elleir_cs @oocbrazil Eu vou suicidar vocês se não voltar emmmm compartilhei atoa é ??????,guarana,,"Garoto perdido entre ventos lunares e sussuros siderais.

Boy lost in lunar winds and sidereal whispers
- Deficiente auditivo🦻🏽
 #SurdosQueOuvem",Twitter for Android,pt,1392226698201022470
marquesa22_,2021-05-11T21:12:47Z,"@brunamsss Amiga, o filme viajou demais na maionese, mas em suma: era ele querendo se suicidar",brunamsss,,Escrevendo uns impulsos,Twitter for Android,pt,1392226200563724297
louispiola2,2021-05-11T21:11:29Z,@Killmyalma me queiro matar balear morir suicidar,Killmyalma,,hincha de louis y de snk | cuenta oficial de la novia de mikasa,Twitter for Android,pt,1392225875656159233
DjGeanSilvaa,2021-05-11T20:57:17Z,"RT @biianbjb: gente, eu quero de fato me suicidar, pq não satisfeito, ele está mandando e postando vídeo íntimo nosso transando pra minha família toda e colocando em redes sociais. nunca passei por isso e n vou passar. obg a todos que estão me mandando mensagens...",,biianbjb,Número pra contrato 98078-1462 | 021-FIGUEIRA CITY| @Flamengo | #DjNãoéBandido | •SOLTEIRO🌚,Twitter for iPhone,pt,1392222300880113670
littlejezz,2021-05-11T20:46:34Z,"Tirando a última parte da conversa, isso me lembra mt um ex meu, que fudeu com meu psicológico e até hj ñ consigo nem pensar em chegar perto da casa dele q eu fico nervosa
Se tem uma coisa que eu aprendi: se a pessoa quer se suicidar, ela vai e isso ñ é culpa sua, é escolha dela https://t.co/U1JE3eCwLA",,,não será nessa encadernação que serei um ser iluminado,Twitter for Android,pt,1392219605062594561
patriciaob13,2021-05-11T20:44:20Z,"Eu repito pra mim mesma q n tem nd q eu n aguente. Sofri muita coisa quando era criança q prefiro n lembrar, na minha adolescência desenvolvi depressão, ansiedade, pânico, tentei me suicidar mais de uma vez, e diariamente me corto.. Isso tudo eu passei sozinha. Eu aguento tudo!",,,🏳️‍🌈 LGBT / 🍰 20 / 📝Recomece quantas vezes for necessário.,Twitter for Android,pt,1392219041410990089
luza_IX,2021-05-11T20:41:30Z,"@xerecacompus Não é possível...
Pelo visto terei de me suicidar para renascer como gente normal (gay)",xerecacompus,,"Ela/dela ou ele/dele - Bio não importa, senta na minha pica torta",Twitter for Android,pt,1392218328010305542
GregoriiW,2021-05-11T20:35:43Z,"@_l3itad4s_l03n Um dia, esse ai, acorda pra vida. Só espero que isso não o leve para o alto de uma ponte para se suicidar.",_l3itad4s_l03n,,*I am Batman*,Twitter for Android,pt,1392216872855252994
rueliviz,2021-05-11T20:31:52Z,o video do monark com o haddad faz eu querer me suicidar,,,(ela/dela) a beleza de ser um eterno aprendiz ☭,Twitter for iPhone,pt,1392215906479132681
DaniloArmani97,2021-05-11T20:21:44Z,Depois dessa festa toda sem ninguém interferir se não houver santos populares eu vou mm me suicidar com cinto da gucci fake eh,,,2745,Twitter for iPhone,pt,1392213355188953094
neuza__prates,2021-05-11T20:15:25Z,RT @tribs_05: AMIGOS BORA NOS SUICIDAR?,,tribs_05,ig:neuza__prates,Twitter Web App,pt,1392211764591448067
vic_saturnino,2021-05-11T20:12:57Z,"Kazan é a cidade, o nome da escola é n° 175 e foram 10 mortos, sendo 8 estudantes e 2 professores, e 21 feridos no hospital, sendo 18 crianças e 3 professores. O fdp foi preso antes de conseguir se suicidar https://t.co/vLXlCRsIVT",,,,Twitter for iPhone,pt,1392211143020646402
maria_brdt,2021-05-11T20:12:07Z,RT @tribs_05: AMIGOS BORA NOS SUICIDAR?,,tribs_05,"spam: @buegayew
 👩‍❤️‍💋‍👩👩‍❤️‍💋‍👨 |
@Ana2Rita26 love & simp acc",Twitter for Android,pt,1392210932533706753
Natariiooo,2021-05-11T20:09:34Z,RT @tribs_05: AMIGOS BORA NOS SUICIDAR?,,tribs_05,.,Twitter for Android,pt,1392210294693367811
tribs_05,2021-05-11T20:07:32Z,AMIGOS BORA NOS SUICIDAR?,,,let’s talk about you and me ig:@francisca_tribuna,Twitter for iPhone,pt,1392209780635222017
Melanie26008838,2021-05-11T19:58:34Z,"pov: receber o teste de geologia ou suicidar um dia antes...
Eu: https://t.co/yc1Af5GFsd",,,Life is the art of drawing without an eraser.🌸📝🎭,Twitter for Android,pt,1392207526725398529
arrobinha_mah,2021-05-11T19:55:48Z,@gizapatriamada Pois é...se for pra falar de dor e sofrimento eu tenho bastante história pra contar. Pra mim viver é isso.O inferno é aqui.Nao vejo a hora q Deus me leve pq não tenho coragem de me suicidar por medo de ter que passar tudo de novo .Pra vc ter ideia nunca estive numa mesa de natal,gizapatriamada,,"Querendo mudar o cenário que se encontra o  Brasil pra ser um pouco feliz .
Conservadora (Direita) Sem fanatismo ok? Já é tão horrível ver isso do lado de lá .",Twitter for Android,pt,1392206828990238720
MtdCruzz,2021-05-11T19:38:08Z,"@jefin_006 @biianbjb Não, mas já tentei me suicidar",jefin_006,,"Sempre na contramão, nunca esquerda nem direita eternamente oposição.",Twitter for Android,pt,1392202384319864844
yeojin1488,2021-05-11T19:31:24Z,EU APAGUEI MINHA PASTA DE JOGOS DE TOUHOU EU VOU ME SUICIDAR,,,"Nao aguento mais
お先真っ暗な人生
最早、どうでもいいや
#모모❤️
@sosozinho1 pessoal


Once e Orbit

FUTURO PRO PLAY DE OSU CATCH",Twitter Web App,pt,1392200689653272585
_isiskemelly,2021-05-11T19:25:27Z,"Deu CRT, para quem me ama um beijo e para quem me odeia também. Pq o mal se paga cm o bem eu só não dou corda para quem não gosta de mim porque tenho medo de você se suicidar KKKKKKK",,,para você é amor. 😛,Twitter for Android,pt,1392199191196278795
__Clarissa____,2021-05-11T19:19:31Z,"***  (nossa que vontade de me suicidar odeio essa)
***** (essa aqui eu tenho vontade de da um tiro na minha cabeça) 
** ****** (essa eu tenho nojo)",__Clarissa____,,coisas que eu deveria falar pra psicóloga porém prefiro registrar aqui,Twitter for iPhone,pt,1392197695738204164
camandis,2021-05-11T19:18:18Z,eu vou me suicidar...... https://t.co/Pp26PA6zNN,,,heartlessness​​ ​​is​​ ​​burden//@spookgrrrl,Twitter for Android,pt,1392197390086590466
_vivicarioceno,2021-05-11T19:16:05Z,"RT @biianbjb: gente, eu quero de fato me suicidar, pq não satisfeito, ele está mandando e postando vídeo íntimo nosso transando pra minha família toda e colocando em redes sociais. nunca passei por isso e n vou passar. obg a todos que estão me mandando mensagens...",,biianbjb,•📍Rj,Twitter for Android,pt,1392196834177728512
Ruben_24_1893,2021-05-11T18:53:03Z,"Juro que estou a aturar dois gajos da primaria
🤣😭😔
Vou me ali suicidar porque levei com o livro do estudo do meio xau",,,@FCPorto//Invicta,Twitter for Android,pt,1392191035674140674
edummps,2021-05-11T18:38:07Z,Com essa descrição tu é q te devias suicidar https://t.co/1Oe4P1x20E,,,qualé ?,Twitter for iPhone,pt,1392187279230345218
Geovanna1440,2021-05-11T18:29:09Z,"ninguém se preocupa em passar o dia do trabalhador sem um trampo, agora dia dos namorados só falta se suicidar porque tá sem namoradx aaaaaa vai toma no cu",,,"não sei
@flamengo",Twitter for Android,pt,1392185021579026433
eduarda_sant270,2021-05-11T18:23:28Z,"RT @biianbjb: gente, eu quero de fato me suicidar, pq não satisfeito, ele está mandando e postando vídeo íntimo nosso transando pra minha família toda e colocando em redes sociais. nunca passei por isso e n vou passar. obg a todos que estão me mandando mensagens...",,biianbjb,insta:dudinha_santos2707,Twitter for Android,pt,1392183591027752965
imperfectbaby_,2021-05-11T18:21:34Z,"tô falando, eu vô me suicidar até nascer homem, branco, cis e hetero 
vamos ver como é andar sem medo na rua",,,ela/dela                                                                                life is so short to live for others,Twitter for Android,pt,1392183115041366020
sthebenfatti,2021-05-11T18:19:25Z,"Um cara que eu conheço aqui, não tão distante tentou tirar sua vida, dias desaparecido. Deixou um recado horrível pros flatmates de que iria se suicidar e ninguém nem imaginava que ele passava por algo. É, amigos! Sejamos intencionais no mais profundo com aqueles que nos cercam",,,,Twitter for iPhone,pt,1392182571749027847
samilopesx,2021-05-11T18:16:42Z,"a mina estava pagando mó de pá na call ontem falando q podiam postar o vídeo q não estava nem aí, ""podem postar meu trabalho lindo hahahahaha"" agr tá aí postando q quer suicidar kkkkkkkkkkkkkkkkkkkkkkkk ué",,,crf❤️🖤| 17y | ♊ | @pkfreestyleiro 💍,Twitter for Android,pt,1392181890124337154
dantoshio,2021-05-11T18:09:13Z,"@ExposedThrill @Alnkjkj foi na luta, na hora que Netero vai se suicidar",ExposedThrill,,,Twitter Web App,pt,1392180004713291780
_andrelcs,2021-05-11T18:04:12Z,"sozinho em casa até 21h, bom que dá pra se suicidar de boa 😍🙈",,,posto nada com nd aqui,Twitter for iPhone,pt,1392178741950894080
Niel_Bello,2021-05-11T17:53:46Z,"RT @Gaules: Hoje tive a certeza do pq falhei quando tentei me suicidar.. Deus tem um plano especial pra cada um de nós! O maior alambrado do mundo, a maior tribo do mundo, a maior família do mundo! Obrigado https://t.co/rzcPhKJFY4",,Gaules,"Daniel mas pode chamar de Bello, satisfação.
19years😎
Me amarro num churrasco e uma 🍺 
Segue ae e bora trocar uma idéia",Twitter Web App,pt,1392176118573195265
vitoriasz22,2021-05-11T17:45:02Z,"RT @biianbjb: gente, eu quero de fato me suicidar, pq não satisfeito, ele está mandando e postando vídeo íntimo nosso transando pra minha família toda e colocando em redes sociais. nunca passei por isso e n vou passar. obg a todos que estão me mandando mensagens...",,biianbjb,"• /O que vem de Deus, traz paz.  — João 14:27 🤍",Twitter for Android,pt,1392173919705174025
jonathancardeal,2021-05-11T17:40:25Z,"RT @biianbjb: gente, eu quero de fato me suicidar, pq não satisfeito, ele está mandando e postando vídeo íntimo nosso transando pra minha família toda e colocando em redes sociais. nunca passei por isso e n vou passar. obg a todos que estão me mandando mensagens...",,biianbjb,🦍,Twitter for Android,pt,1392172757757140992
